From,To,Line,Load
Camden Town (Edgware),Mornington Crescent,Northern,2.276869631585194e-06
Camden Town (High Barnet),Euston LU,Northern,2.6261127826733663e-06
Camden Town (High Barnet),Kentish Town,Northern,1.275358888306322e-06
Camden Town (High Barnet),Mornington Crescent,Northern,2.3414271350550643e-06
Canada Water,Bermondsey,Jubilee,6.290360967194822e-07
Canada Water,Canary Wharf LU,Jubilee,6.542014142476578e-07
Canary Wharf LU,Canada Water,Jubilee,6.915302529919619e-07
Canary Wharf LU,North Greenwich,Jubilee,7.931478991448209e-07
Canning Town,North Greenwich,Jubilee,9.328885514236634e-07
Canning Town,West Ham,Jubilee,1.071492284165986e-06
Cannon Street LU,Bank and Monument,District,1.2357828903337321e-06
Cannon Street LU,Bank and Monument,H&C and Circle,5.82635364793836e-06
Cannon Street LU,Mansion House,District,1.2224487023425575e-06
Cannon Street LU,Mansion House,H&C and Circle,5.731146690212854e-06
Canons Park,Queensbury,Jubilee,9.112872544869929e-06
Canons Park,Stanmore,Jubilee,1.532506616740627e-05
Chalfont & Latimer,Amersham,Metropolitan,8.035100815688759e-05
Chalfont & Latimer,Chesham,Metropolitan,5.1997838392424675e-05
Chalfont & Latimer,Chorleywood,Metropolitan,1.955094698297807e-05
Chalk Farm,Belsize Park,Northern,1.676355332848426e-06
Chalk Farm,Camden Town (Edgware),Northern,1.419622690438126e-06
Chancery Lane,Holborn,Central,6.53714633784385e-07
Chancery Lane,St. Paul's,Central,6.739734251630423e-07
Charing Cross LU,Embankment,Bakerloo,1.8729918338046955e-06
Charing Cross LU,Embankment,Northern,1.019967654950912e-06
Charing Cross LU,Leicester Square,Northern,9.512251180022166e-07
Charing Cross LU,Piccadilly Circus,Bakerloo,1.5318110416948711e-06
Chesham,Chalfont & Latimer,Metropolitan,4.7043714796416545e-05
Chigwell,Grange Hill,Central,9.684703188526047e-05
Chigwell,Roding Valley,Central,6.63449832982846e-05
Chiswick Park,Acton Town,District,9.522547152233053e-06
Chiswick Park,Turnham Green,District,8.224112178407124e-06
Chorleywood,Chalfont & Latimer,Metropolitan,2.1441520262316457e-05
Chorleywood,Rickmansworth,Metropolitan,1.4416123214410409e-05
Clapham Common,Clapham North,Northern,9.700054209407976e-07
Clapham Common,Clapham South,Northern,1.1434975428986856e-06
Clapham North,Clapham Common,Northern,1.0069521551699187e-06
Clapham North,Stockwell,Northern,9.063314883126725e-07
Clapham South,Balham LU,Northern,1.2967219704340564e-06
Clapham South,Clapham Common,Northern,1.0827660948425668e-06
Cockfosters,Oakwood,Piccadilly,3.089431792036517e-05
Colindale,Burnt Oak,Northern,6.8964817877869165e-06
Colindale,Hendon Central,Northern,3.6821273698721576e-06
Colliers Wood,South Wimbledon,Northern,4.035504371337693e-06
Colliers Wood,Tooting Broadway,Northern,2.7268366644048334e-06
Covent Garden,Holborn,Piccadilly,1.1513498915360979e-06
Covent Garden,Leicester Square,Piccadilly,1.1166730134689993e-06
Croxley,Moor Park,Metropolitan,2.068338397601693e-05
Croxley,Watford,Metropolitan,2.948314613765462e-05
Dagenham East,Dagenham Heathway,District,6.1765597814857946e-06
Dagenham East,Elm Park,District,8.606287373154473e-06
Dagenham Heathway,Becontree,District,3.994460283791011e-06
Dagenham Heathway,Dagenham East,District,6.195827783643693e-06
Debden,Loughton,Central,8.20250939934128e-06
Debden,Theydon Bois,Central,1.1310503665902696e-05
Dollis Hill,Neasden,Jubilee,3.2670458439120497e-06
Dollis Hill,Willesden Green,Jubilee,2.5972971191304684e-06
Ealing Broadway,Ealing Common,District,9.39460011028239e-06
Ealing Broadway,West Acton,Central,6.486080871020835e-06
Ealing Common,Acton Town,District,8.63449453764389e-06
Ealing Common,Acton Town,Piccadilly,4.6839882897516635e-06
Ealing Common,Ealing Broadway,District,9.807261064082225e-06
Ealing Common,North Ealing,Piccadilly,4.882166778904847e-06
Earl's Court,Barons Court,Piccadilly,1.2029362732700935e-06
Earl's Court,Gloucester Road,District,9.528182427360873e-07
Earl's Court,Gloucester Road,Piccadilly,1.2167202842414317e-06
Earl's Court,High Street Kensington,District,3.6646433993789253e-06
Earl's Court,Kensington (Olympia),District,0.00021905848383830167
Earl's Court,West Brompton,District,1.326544025061485e-06
Earl's Court,West Kensington,District,2.0634981055160477e-06
East Acton,North Acton,Central,2.1624290093272384e-06
East Acton,White City,Central,1.8946113212276767e-06
East Finchley,Finchley Central,Northern,2.7438205447775808e-06
East Finchley,Highgate,Northern,2.317673829149803e-06
East Ham,Barking,District,2.428979449373996e-06
East Ham,Barking,H&C and Circle,1.4455650704481793e-05
East Ham,Upton Park,District,1.9174554214649506e-06
East Ham,Upton Park,H&C and Circle,7.852682539395608e-06
East Putney,Putney Bridge,District,2.24639330815594e-06
East Putney,Southfields,District,2.737393029049783e-06
Eastcote,Rayners Lane,Metropolitan,5.788163520091861e-06
Eastcote,Rayners Lane,Piccadilly,2.5800655298394487e-05
Eastcote,Ruislip Manor,Metropolitan,7.024006913786882e-06
Eastcote,Ruislip Manor,Piccadilly,2.863208684484538e-05
Edgware,Burnt Oak,Northern,1.1270310990094478e-05
Edgware Road (Bak),Marylebone LU,Bakerloo,1.7884315288613515e-06
Edgware Road (Bak),Paddington TfL,Bakerloo,1.6442037745724367e-06
Edgware Road (DIS),Baker Street,H&C and Circle,1.5249062336623836e-06
Edgware Road (DIS),Paddington TfL,District,1.5997551336506065e-05
Edgware Road (DIS),Paddington TfL,H&C and Circle,1.6988584209438127e-06
Elephant & Castle LU,Borough,Northern,1.1623472509188232e-06
Elephant & Castle LU,Kennington (Bank),Northern,1.2726904936049937e-06
Elephant & Castle LU,Lambeth North,Bakerloo,6.995157106430681e-06
Elm Park,Dagenham East,District,8.849771088555245e-06
Elm Park,Hornchurch,District,1.362358072163695e-05
Embankment,Charing Cross LU,Bakerloo,1.7860504643283418e-06
Embankment,Charing Cross LU,Northern,1.026682764120925e-06
Embankment,Temple,District,1.0573740423150824e-06
Embankment,Temple,H&C and Circle,4.758561953559809e-06
Embankment,Waterloo LU,Bakerloo,2.1782003926469717e-06
Embankment,Waterloo LU,Northern,1.1047134342817556e-06
Embankment,Westminster,District,1.0618957951897123e-06
Embankment,Westminster,H&C and Circle,4.597585578277011e-06
Epping,Theydon Bois,Central,1.3484057987063634e-05
Euston LU,Camden Town (Edgware),Northern,1.8496810005934206e-06
Euston LU,Camden Town (High Barnet),Northern,2.7289815331302583e-06
Euston LU,King's Cross St. Pancras,Northern,1.173350353039885e-06
Euston LU,King's Cross St. Pancras,Victoria,5.462390714207941e-07
Euston LU,Mornington Crescent,Northern,1.2026802896202258e-06
Euston LU,Warren Street,Northern,9.70060130827286e-07
Euston LU,Warren Street,Victoria,4.884253507307816e-07
Euston Square,Great Portland Street,H&C and Circle,1.6832490026349883e-06
Euston Square,Great Portland Street,Metropolitan,2.0092946648207416e-06
Euston Square,King's Cross St. Pancras,H&C and Circle,1.5777958204868204e-06
Euston Square,King's Cross St. Pancras,Metropolitan,2.0501254086830795e-06
Fairlop,Barkingside,Central,1.1962351851766505e-05
Fairlop,Hainault,Central,1.6676880325883267e-05
Farringdon,Barbican,H&C and Circle,1.7366504819423486e-06
Farringdon,Barbican,Metropolitan,2.531762515033989e-06
Farringdon,King's Cross St. Pancras,H&C and Circle,1.6670711417172022e-06
Farringdon,King's Cross St. Pancras,Metropolitan,2.2465317258490576e-06
Finchley Central,East Finchley,Northern,2.9799684410228314e-06
Finchley Central,Mill Hill East,Northern,2.9995587872741226e-05
Finchley Central,West Finchley,Northern,4.5201548899144395e-06
Finchley Road,Baker Street,Metropolitan,1.7407601476993135e-06
Finchley Road,Swiss Cottage,Jubilee,1.183829167485668e-06
Finchley Road,Wembley Park,Metropolitan,1.3755640598948852e-06
Finchley Road,West Hampstead LU,Jubilee,1.7239860663257223e-06
Finsbury Park LU,Arsenal,Piccadilly,1.7074414782120253e-06
Finsbury Park LU,Highbury & Islington,Victoria,6.382894790575624e-07
Finsbury Park LU,Manor House,Piccadilly,1.4172993891035415e-06
Finsbury Park LU,Seven Sisters,Victoria,9.414969750328283e-07
Fulham Broadway,Parsons Green,District,1.6549392277669709e-06
Fulham Broadway,West Brompton,District,1.4433096722122126e-06
Gants Hill,Newbury Park,Central,5.913190866863417e-06
Gants Hill,Redbridge,Central,3.523724479296296e-06
Gloucester Road,Earl's Court,District,1.0192519237227841e-06
Gloucester Road,Earl's Court,Piccadilly,1.1114784012355128e-06
Gloucester Road,High Street Kensington,H&C and Circle,4.00765045725528e-06
Gloucester Road,South Kensington,District,9.082681778183885e-07
Gloucester Road,South Kensington,H&C and Circle,3.1758026901511593e-06
Gloucester Road,South Kensington,Piccadilly,1.1932623071892486e-06
Golders Green,Brent Cross,Northern,2.6977583450325763e-06
Golders Green,Hampstead,Northern,2.044760682981812e-06
Goldhawk Road,Hammersmith (H&C),H&C and Circle,5.737230725093476e-06
Goldhawk Road,Shepherd's Bush Market,H&C and Circle,4.821081579801724e-06
Goodge Street,Tottenham Court Road,Northern,9.328184166217035e-07
Goodge Street,Warren Street,Northern,1.0257596111842114e-06
Grange Hill,Chigwell,Central,9.285528280874706e-05
Grange Hill,Hainault,Central,0.00013586003221133442
Great Portland Street,Baker Street,H&C and Circle,1.7039049580908768e-06
Great Portland Street,Baker Street,Metropolitan,1.993346773840877e-06
Great Portland Street,Euston Square,H&C and Circle,1.6107411013623404e-06
Great Portland Street,Euston Square,Metropolitan,1.984249517453941e-06
Green Park,Bond Street,Jubilee,8.403740259343851e-07
Green Park,Hyde Park Corner,Piccadilly,8.179438985916912e-07
Green Park,Oxford Circus,Victoria,4.885647321316155e-07
Green Park,Piccadilly Circus,Piccadilly,9.607888609424355e-07
Green Park,Victoria LU,Victoria,5.105554503562123e-07
Green Park,Westminster,Jubilee,7.690429446255819e-07
Greenford,Northolt,Central,7.383647748965865e-06
Greenford,Perivale,Central,4.933070077972749e-06
Gunnersbury,Kew Gardens,District,5.914750459839107e-06
Gunnersbury,Turnham Green,District,4.704154619803543e-06
Hainault,Fairlop,Central,1.5585583128945247e-05
Hainault,Grange Hill,Central,0.0001509299347090999
Hammersmith (DIS),Barons Court,District,1.8904229173837285e-06
Hammersmith (DIS),Barons Court,Piccadilly,1.363441766691678e-06
Hammersmith (DIS),Ravenscourt Park,District,2.4044900476358977e-06
Hammersmith (DIS),Turnham Green,Piccadilly,1.4736831996301463e-06
Hammersmith (H&C),Goldhawk Road,H&C and Circle,5.5140509432117446e-06
Hampstead,Belsize Park,Northern,1.8458766164900582e-06
Hampstead,Golders Green,Northern,2.1541263799153795e-06
Hanger Lane,North Acton,Central,3.7112916405901347e-06
Hanger Lane,Perivale,Central,4.635836801713266e-06
Harlesden,Stonebridge Park,Bakerloo,1.1875237471487906e-05
Harlesden,Willesden Junction,Bakerloo,8.739479398608918e-06
Harrow & Wealdstone,Kenton,Bakerloo,3.4256431214481445e-05
Harrow-on-the-Hill,North Harrow,Metropolitan,4.398370639665239e-06
Harrow-on-the-Hill,Northwick Park,Metropolitan,1.826448750472843e-06
Harrow-on-the-Hill,West Harrow,Metropolitan,4.5075246889733665e-06
Hatton Cross,Heathrow Terminal 4 LU,Piccadilly,2.8063830659897886e-05
Hatton Cross,Heathrow Terminals 123 LU,Piccadilly,5.727031775991061e-06
Hatton Cross,Hounslow West,Piccadilly,3.8299170010828565e-06
Heathrow Terminal 4 LU,Heathrow Terminals 123 LU,Piccadilly,2.8260963522547122e-05
Heathrow Terminal 5 LU,Heathrow Terminals 123 LU,Piccadilly,1.0875373303529363e-05
Heathrow Terminals 123 LU,Hatton Cross,Piccadilly,4.158986770808886e-06
Heathrow Terminals 123 LU,Heathrow Terminal 5 LU,Piccadilly,1.261761618422166e-05
Hendon Central,Brent Cross,Northern,2.7352587143833343e-06
Hendon Central,Colindale,Northern,3.85715042722775e-06
High Barnet,Totteridge & Whetstone,Northern,1.3954688592309697e-05
High Street Kensington,Earl's Court,District,4.838887342681771e-06
High Street Kensington,Gloucester Road,H&C and Circle,3.0164554886223356e-06
High Street Kensington,Notting Hill Gate,District,3.7510978782819558e-06
High Street Kensington,Notting Hill Gate,H&C and Circle,4.990817673435053e-06
Highbury & Islington,Finsbury Park LU,Victoria,6.888198002917544e-07
Highbury & Islington,King's Cross St. Pancras,Victoria,5.694035523409925e-07
Highgate,Archway,Northern,1.9455180487723095e-06
Highgate,East Finchley,Northern,2.1947399335945018e-06
Hillingdon,Ickenham,Metropolitan,8.700990962417816e-06
Hillingdon,Ickenham,Piccadilly,3.7708641090595024e-05
Hillingdon,Uxbridge,Metropolitan,1.1150816342111492e-05
Hillingdon,Uxbridge,Piccadilly,4.284494065330832e-05
Holborn,Chancery Lane,Central,6.653253283344904e-07
Holborn,Covent Garden,Piccadilly,1.084499183882552e-06
Holborn,Russell Square,Piccadilly,1.1789321629205766e-06
Holborn,Tottenham Court Road,Central,7.274784528670358e-07
