From,To,Line,Load
Northwood,Northwood Hills,Metropolitan,5.634807586710836e-06
Northwood Hills,Northwood,Metropolitan,6.15697519519344e-06
Northwood Hills,Pinner,Metropolitan,5.090188125790731e-06
Notting Hill Gate,Bayswater,District,5.753098106556401e-06
Notting Hill Gate,Bayswater,H&C and Circle,7.399375325736277e-06
Notting Hill Gate,High Street Kensington,District,4.8241568427190415e-06
Notting Hill Gate,High Street Kensington,H&C and Circle,3.7296961102731996e-06
Notting Hill Gate,Holland Park,Central,1.3681795170730644e-06
Notting Hill Gate,Queensway,Central,1.1238951270227923e-06
Oakwood,Cockfosters,Piccadilly,3.0833527183247375e-05
Oakwood,Southgate,Piccadilly,1.2299637776929181e-05
Old Street,Angel,Northern,1.001246346566797e-06
Old Street,Moorgate,Northern,9.740996489956024e-07
Osterley,Boston Manor,Piccadilly,2.3672764753744035e-06
Osterley,Hounslow East,Piccadilly,2.7171476244912077e-06
Oval,Kennington (Bank),Northern,1.1468628931377398e-06
Oval,Kennington (Charing Cross),Northern,1.1383860772085397e-05
Oval,Stockwell,Northern,1.1383023835763983e-06
Oxford Circus,Bond Street,Central,8.070022237387708e-07
Oxford Circus,Green Park,Victoria,5.118893616398684e-07
Oxford Circus,Piccadilly Circus,Bakerloo,1.3822863033722967e-06
Oxford Circus,Regent's Park,Bakerloo,1.1818230608880677e-06
Oxford Circus,Tottenham Court Road,Central,7.876531197900151e-07
Oxford Circus,Warren Street,Victoria,4.811358858070522e-07
Paddington TfL,Bayswater,District,7.0174344792380715e-06
Paddington TfL,Bayswater,H&C and Circle,6.611521583054284e-06
Paddington TfL,Edgware Road (Bak),Bakerloo,1.739125160022131e-06
Paddington TfL,Edgware Road (DIS),District,1.4704962264290424e-05
Paddington TfL,Edgware Road (DIS),H&C and Circle,1.6441666613280389e-06
Paddington TfL,Royal Oak,H&C and Circle,2.4402818163939904e-06
Paddington TfL,Warwick Avenue,Bakerloo,2.7419594777300196e-06
Park Royal,Alperton,Piccadilly,5.5169621642911306e-06
Park Royal,North Ealing,Piccadilly,5.013841126064522e-06
Parsons Green,Fulham Broadway,District,1.6727731325755748e-06
Parsons Green,Putney Bridge,District,1.886491125759101e-06
Perivale,Greenford,Central,5.225782584615943e-06
Perivale,Hanger Lane,Central,4.374982660483965e-06
Piccadilly Circus,Charing Cross LU,Bakerloo,1.6055293542089174e-06
Piccadilly Circus,Green Park,Piccadilly,9.221200090943352e-07
Piccadilly Circus,Leicester Square,Piccadilly,1.0797198990377526e-06
Piccadilly Circus,Oxford Circus,Bakerloo,1.2376332152295607e-06
Pimlico,Vauxhall LU,Victoria,9.094904902936638e-07
Pimlico,Victoria LU,Victoria,7.926513660850795e-07
Pinner,North Harrow,Metropolitan,4.372682222008549e-06
Pinner,Northwood Hills,Metropolitan,5.551931914713871e-06
Plaistow,Upton Park,District,1.621394375087151e-06
Plaistow,Upton Park,H&C and Circle,6.48032737863011e-06
Plaistow,West Ham,District,1.5220913519353839e-06
Plaistow,West Ham,H&C and Circle,5.218986628173609e-06
Preston Road,Northwick Park,Metropolitan,1.7790674204827988e-06
Preston Road,Wembley Park,Metropolitan,1.6279789999657678e-06
Putney Bridge,East Putney,District,2.224741036191738e-06
Putney Bridge,Parsons Green,District,1.9231429213412107e-06
Queen's Park,Kensal Green,Bakerloo,8.098675617118357e-06
Queen's Park,Kilburn Park,Bakerloo,4.086843317145207e-06
Queensbury,Canons Park,Jubilee,9.30793691858938e-06
Queensbury,Kingsbury,Jubilee,5.801003192989647e-06
Queensway,Lancaster Gate,Central,1.007431089854005e-06
Queensway,Notting Hill Gate,Central,1.1730213160671524e-06
Ravenscourt Park,Hammersmith (DIS),District,2.302405078110468e-06
Ravenscourt Park,Stamford Brook,District,2.595600960636777e-06
Rayners Lane,Eastcote,Metropolitan,6.0871168041284535e-06
Rayners Lane,Eastcote,Piccadilly,2.4869395933844723e-05
Rayners Lane,South Harrow,Piccadilly,1.261824287189037e-05
Rayners Lane,West Harrow,Metropolitan,4.592241618017192e-06
Redbridge,Gants Hill,Central,3.7676265725556286e-06
Redbridge,Wanstead,Central,3.059816615347847e-06
Regent's Park,Baker Street,Bakerloo,1.218371978716701e-06
Regent's Park,Oxford Circus,Bakerloo,1.253536849386373e-06
Richmond,Kew Gardens,District,8.182904885839848e-06
Rickmansworth,Chorleywood,Metropolitan,1.6803429397771492e-05
Rickmansworth,Moor Park,Metropolitan,1.1103786772180456e-05
Roding Valley,Chigwell,Central,7.275370369152558e-05
Roding Valley,Woodford,Central,5.6401507306910595e-05
Royal Oak,Paddington TfL,H&C and Circle,2.307600728377229e-06
Royal Oak,Westbourne Park,H&C and Circle,2.5598271133685936e-06
Ruislip,Ickenham,Metropolitan,8.623909780106621e-06
Ruislip,Ickenham,Piccadilly,3.417657374510892e-05
Ruislip,Ruislip Manor,Metropolitan,7.352452500334185e-06
Ruislip,Ruislip Manor,Piccadilly,3.26374722267283e-05
Ruislip Gardens,South Ruislip,Central,2.524881560084586e-05
Ruislip Gardens,West Ruislip,Central,4.756277694176505e-05
Ruislip Manor,Eastcote,Metropolitan,6.694024879497428e-06
Ruislip Manor,Eastcote,Piccadilly,3.022552980486126e-05
Ruislip Manor,Ruislip,Metropolitan,7.71051122475786e-06
Ruislip Manor,Ruislip,Piccadilly,3.109881413604778e-05
Russell Square,Holborn,Piccadilly,1.0673410872590682e-06
Russell Square,King's Cross St. Pancras,Piccadilly,1.2136024084300077e-06
Seven Sisters,Finsbury Park LU,Victoria,8.872464840663698e-07
Seven Sisters,Tottenham Hale LU,Victoria,1.4203829665182387e-06
Shepherd's Bush LU,Holland Park,Central,1.3659817785330259e-06
Shepherd's Bush LU,White City,Central,1.8024670985502595e-06
Shepherd's Bush Market,Goldhawk Road,H&C and Circle,5.0435071131540075e-06
Shepherd's Bush Market,Wood Lane,H&C and Circle,3.982395386669791e-06
Sloane Square,South Kensington,District,8.496060360223725e-07
Sloane Square,South Kensington,H&C and Circle,4.022959509777685e-06
Sloane Square,Victoria LU,District,7.485963555008901e-07
Sloane Square,Victoria LU,H&C and Circle,2.9003806156899497e-06
Snaresbrook,Leytonstone,Central,2.468568258891547e-06
Snaresbrook,South Woodford,Central,2.691513329129238e-06
South Ealing,Acton Town,Piccadilly,1.961386434383279e-06
South Ealing,Northfields,Piccadilly,2.1851770559299072e-06
South Harrow,Rayners Lane,Piccadilly,1.2938123740311894e-05
South Harrow,Sudbury Hill,Piccadilly,9.065342551415023e-06
South Kensington,Gloucester Road,District,9.750698852075793e-07
South Kensington,Gloucester Road,H&C and Circle,4.66543042691975e-06
South Kensington,Gloucester Road,Piccadilly,1.076957767989338e-06
South Kensington,Knightsbridge,Piccadilly,1.0514433907599483e-06
South Kensington,Sloane Square,District,7.959652755133943e-07
South Kensington,Sloane Square,H&C and Circle,3.0367739676044685e-06
South Kenton,Kenton,Bakerloo,3.3104175308985346e-05
South Kenton,North Wembley,Bakerloo,2.1309170712000517e-05
South Ruislip,Northolt,Central,1.5300044688059347e-05
South Ruislip,Ruislip Gardens,Central,2.7873170798903218e-05
South Wimbledon,Colliers Wood,Northern,3.846021989143345e-06
South Wimbledon,Morden,Northern,5.640897034783958e-06
South Woodford,Snaresbrook,Central,2.6726948127290316e-06
South Woodford,Woodford,Central,3.346336739990696e-06
Southfields,East Putney,District,2.8171165997814534e-06
Southfields,Wimbledon Park,District,3.153387493633007e-06
Southgate,Arnos Grove,Piccadilly,6.38053818946084e-06
Southgate,Oakwood,Piccadilly,1.2165442583069817e-05
Southwark,London Bridge LU,Jubilee,5.719387886597001e-07
Southwark,Waterloo LU,Jubilee,5.756266222391311e-07
St. James's Park,Victoria LU,District,9.746267487530625e-07
St. James's Park,Victoria LU,H&C and Circle,4.265719575666407e-06
St. James's Park,Westminster,District,9.189973437227825e-07
St. James's Park,Westminster,H&C and Circle,3.7779429553455182e-06
St. John's Wood,Baker Street,Jubilee,1.014411386959921e-06
St. John's Wood,Swiss Cottage,Jubilee,1.2379381742286576e-06
St. Paul's,Bank and Monument,Central,6.916181582126285e-07
St. Paul's,Chancery Lane,Central,6.578405185618411e-07
Stamford Brook,Ravenscourt Park,District,2.482258078919587e-06
Stamford Brook,Turnham Green,District,2.7785043327636762e-06
Stanmore,Canons Park,Jubilee,1.5187262961912242e-05
Stepney Green,Mile End,District,1.7890273464140712e-06
Stepney Green,Mile End,H&C and Circle,5.453993743285031e-06
Stepney Green,Whitechapel,District,1.7330659175545668e-06
Stepney Green,Whitechapel,H&C and Circle,5.057974228631126e-06
Stockwell,Brixton LU,Victoria,2.255336185196495e-06
Stockwell,Clapham North,Northern,9.376642627071171e-07
Stockwell,Oval,Northern,1.1002253218617892e-06
Stockwell,Vauxhall LU,Victoria,1.224359789826699e-06
Stonebridge Park,Harlesden,Bakerloo,1.0345385166378413e-05
Stonebridge Park,Wembley Central,Bakerloo,1.548787156645964e-05
Stratford,Leyton,Central,1.0120479847039092e-06
Stratford,Mile End,Central,8.710374080176203e-07
Stratford,West Ham,Jubilee,1.435152344016355e-06
Sudbury Hill,South Harrow,Piccadilly,9.21138985924415e-06
Sudbury Hill,Sudbury Town,Piccadilly,7.732464270478637e-06
Sudbury Town,Alperton,Piccadilly,6.558787400359344e-06
Sudbury Town,Sudbury Hill,Piccadilly,7.823036724102996e-06
Swiss Cottage,Finchley Road,Jubilee,1.3482124504446238e-06
Swiss Cottage,St. John's Wood,Jubilee,1.097174159458887e-06
Temple,Blackfriars LU,District,1.0767064681637388e-06
Temple,Blackfriars LU,H&C and Circle,4.907522100609455e-06
Temple,Embankment,District,1.0711304626922063e-06
Temple,Embankment,H&C and Circle,4.847493875263865e-06
Theydon Bois,Debden,Central,1.1298305384791103e-05
Theydon Bois,Epping,Central,1.3456358806991866e-05
Tooting Bec,Balham LU,Northern,1.4466755347738695e-06
Tooting Bec,Tooting Broadway,Northern,1.8034962590725916e-06
Tooting Broadway,Colliers Wood,Northern,2.880540772184948e-06
Tooting Broadway,Tooting Bec,Northern,1.7141276304060084e-06
Tottenham Court Road,Goodge Street,Northern,9.933204307086151e-07
Tottenham Court Road,Holborn,Central,7.432705205497281e-07
Tottenham Court Road,Leicester Square,Northern,9.153342313544037e-07
Tottenham Court Road,Oxford Circus,Central,7.710723050159977e-07
Tottenham Hale LU,Blackhorse Road,Victoria,2.1182167974004795e-06
Tottenham Hale LU,Seven Sisters,Victoria,1.3385984756939125e-06
Totteridge & Whetstone,High Barnet,Northern,1.4811254385022591e-05
Totteridge & Whetstone,Woodside Park,Northern,8.798274872378874e-06
Tower Hill,Aldgate,H&C and Circle,6.999815741377133e-06
Tower Hill,Aldgate East,District,1.53484525033319e-06
Tower Hill,Bank and Monument,District,1.3059637750611294e-06
Tower Hill,Bank and Monument,H&C and Circle,6.557756276868114e-06
Tufnell Park,Archway,Northern,1.5411741810654244e-06
Tufnell Park,Kentish Town,Northern,1.3957377947260092e-06
Turnham Green,Acton Town,Piccadilly,1.4840353871519317e-06
Turnham Green,Chiswick Park,District,8.917125493875358e-06
Turnham Green,Gunnersbury,District,4.724671518011857e-06
Turnham Green,Hammersmith (DIS),Piccadilly,1.4361037656303413e-06
Turnham Green,Stamford Brook,District,2.6726085515339537e-06
Turnpike Lane,Manor House,Piccadilly,1.6095849707815513e-06
Turnpike Lane,Wood Green,Piccadilly,2.1949578628793566e-06
Upminster,Upminster Bridge,District,3.0644736775239675e-05
Upminster Bridge,Hornchurch,District,2.2382787480924077e-05
Upminster Bridge,Upminster,District,2.7438755571898837e-05
Upney,Barking,District,2.94116927280568e-06
Upney,Becontree,District,3.381702665351588e-06
Upton Park,East Ham,District,1.892992432546977e-06
Upton Park,East Ham,H&C and Circle,8.518893703920442e-06
Upton Park,Plaistow,District,1.6262846769404925e-06
Upton Park,Plaistow,H&C and Circle,5.861176996640352e-06
Uxbridge,Hillingdon,Metropolitan,1.0653799630473699e-05
Uxbridge,Hillingdon,Piccadilly,4.514865410923274e-05
Vauxhall LU,Pimlico,Victoria,8.696070431079316e-07
Vauxhall LU,Stockwell,Victoria,1.280379827712432e-06
Victoria LU,Green Park,Victoria,4.85974814854588e-07
Victoria LU,Pimlico,Victoria,8.281805454317268e-07
Victoria LU,Sloane Square,District,8.024762017933395e-07
Victoria LU,Sloane Square,H&C and Circle,3.7199728386250166e-06
Victoria LU,St. James's Park,District,9.324341880685348e-07
Victoria LU,St. James's Park,H&C and Circle,3.7136288280624232e-06
Walthamstow Central,Blackhorse Road,Victoria,3.2905301664347892e-06
Wanstead,Leytonstone,Central,2.7790632263341325e-06
Wanstead,Redbridge,Central,3.2838574524629847e-06
Warren Street,Euston LU,Northern,1.057010071604317e-06
Warren Street,Euston LU,Victoria,4.838252373716445e-07
Warren Street,Goodge Street,Northern,9.545300398619604e-07
Warren Street,Oxford Circus,Victoria,4.856191149391965e-07
Warwick Avenue,Maida Vale,Bakerloo,3.2267911349921123e-06
Warwick Avenue,Paddington TfL,Bakerloo,2.486615668351325e-06
Waterloo LU,Bank and Monument,Waterloo & City,6.145709071741533e-06
Waterloo LU,Embankment,Bakerloo,1.981621327417467e-06
Waterloo LU,Embankment,Northern,1.1121158425240694e-06
Waterloo LU,Kennington (Charing Cross),Northern,1.7926435596539564e-06
Waterloo LU,Lambeth North,Bakerloo,5.799993231178989e-06
Waterloo LU,Southwark,Jubilee,5.631179843622246e-07
Waterloo LU,Westminster,Jubilee,6.889552128941373e-07
Watford,Croxley,Metropolitan,2.8998199334219503e-05
Wembley Central,North Wembley,Bakerloo,2.4075605182709558e-05
Wembley Central,Stonebridge Park,Bakerloo,1.3619864953139475e-05
Wembley Park,Finchley Road,Metropolitan,1.3551112851835102e-06
Wembley Park,Kingsbury,Jubilee,4.343802354339681e-06
Wembley Park,Neasden,Jubilee,3.2436564077697517e-06
Wembley Park,Preston Road,Metropolitan,1.7093253485522919e-06
West Acton,Ealing Broadway,Central,7.1848658819075135e-06
West Acton,North Acton,Central,6.070527462923494e-06
West Brompton,Earl's Court,District,1.3193568099568634e-06
West Brompton,Fulham Broadway,District,1.4425186015990244e-06
West Finchley,Finchley Central,Northern,5.255191554486662e-06
West Finchley,Woodside Park,Northern,5.015736773844796e-06
West Ham,Bromley-by-Bow,District,1.8151480403710216e-06
West Ham,Bromley-by-Bow,H&C and Circle,5.743773324963193e-06
West Ham,Canning Town,Jubilee,1.1240563759418854e-06
West Ham,Plaistow,District,1.5260645349102713e-06
West Ham,Plaistow,H&C and Circle,5.8095175364820635e-06
West Ham,Stratford,Jubilee,1.3241590889884644e-06
West Hampstead LU,Finchley Road,Jubilee,1.5558121381150273e-06
West Hampstead LU,Kilburn,Jubilee,2.0119894673371525e-06
West Harrow,Harrow-on-the-Hill,Metropolitan,4.37189628132401e-06
West Harrow,Rayners Lane,Metropolitan,4.779735212013863e-06
West Kensington,Barons Court,District,2.2582237710032625e-06
West Kensington,Earl's Court,District,1.7299753805654773e-06
West Ruislip,Ruislip Gardens,Central,4.2554846209081254e-05
Westbourne Park,Ladbroke Grove,H&C and Circle,2.767143776079378e-06
Westbourne Park,Royal Oak,H&C and Circle,2.4346736539605135e-06
Westminster,Embankment,District,1.0793264522953322e-06
Westminster,Embankment,H&C and Circle,4.604524767201136e-06
Westminster,Green Park,Jubilee,7.301017293501982e-07
Westminster,St. James's Park,District,9.587678303195277e-07
Westminster,St. James's Park,H&C and Circle,4.22819960246033e-06
Westminster,Waterloo LU,Jubilee,6.876652899468738e-07
White City,East Acton,Central,2.0104678302938523e-06
White City,Shepherd's Bush LU,Central,1.719684552229768e-06
Whitechapel,Aldgate East,District,1.7894709596322694e-06
Whitechapel,Aldgate East,H&C and Circle,5.181406586887268e-06
Whitechapel,Stepney Green,District,1.7237392086323703e-06
Whitechapel,Stepney Green,H&C and Circle,5.149536733254314e-06
Willesden Green,Dollis Hill,Jubilee,2.9279296063777364e-06
Willesden Green,Kilburn,Jubilee,2.1227492919814946e-06
Willesden Junction,Harlesden,Bakerloo,9.945698609858026e-06
Willesden Junction,Kensal Green,Bakerloo,8.177215422725392e-06
Wimbledon,Wimbledon Park,District,3.4992566743126727e-06
Wimbledon Park,Southfields,District,3.354517758528811e-06
Wimbledon Park,Wimbledon,District,3.2685058655929185e-06
Wood Green,Bounds Green,Piccadilly,3.369378573217601e-06
Wood Green,Turnpike Lane,Piccadilly,2.1314712342128377e-06
Wood Lane,Latimer Road,H&C and Circle,3.4464506400235577e-06
Wood Lane,Shepherd's Bush Market,H&C and Circle,4.244392577355211e-06
Woodford,Buckhurst Hill,Central,4.909338268962072e-06
Woodford,Roding Valley,Central,5.291626503030286e-05
Woodford,South Woodford,Central,3.2994455417705214e-06
Woodside Park,Totteridge & Whetstone,Northern,9.355977356583888e-06
Woodside Park,West Finchley,Northern,6.038175523760106e-06
