From,To,Line,Load,Inverse_Load
Moor Park,Croxley,Metropolitan,47311.75694860602,2.1136395359113034e-05
Moor Park,Northwood,Metropolitan,144634.5678396856,6.913976478350666e-06
Moor Park,Rickmansworth,Metropolitan,77337.77784315428,1.2930291351634912e-05
Moorgate,Barbican,H&C and Circle,561749.8763490182,1.7801517047040606e-06
Moorgate,Barbican,Metropolitan,346418.30204008525,2.8866835098230073e-06
Moorgate,Liverpool Street LU,H&C and Circle,518647.5193234463,1.928091743896621e-06
Moorgate,Liverpool Street LU,Metropolitan,280007.8835509904,3.57132801876236e-06
Moorgate,Old Street,Northern,1019474.5746179732,9.808974396195503e-07
Morden,South Wimbledon,Northern,186880.6569597208,5.351008586274043e-06
Mornington Crescent,Camden Town (Edgware),Northern,381999.8223925289,2.617802264244084e-06
Mornington Crescent,Camden Town (High Barnet),Northern,420209.7682940701,2.379763811916392e-06
Mornington Crescent,Euston LU,Northern,911591.6127016012,1.0969824492311758e-06
Neasden,Dollis Hill,Jubilee,342551.2279962795,2.91927139146283e-06
Neasden,Wembley Park,Jubilee,276723.5523203808,3.6137148125441638e-06
Newbury Park,Barkingside,Central,103344.60501439354,9.67636384947935e-06
Newbury Park,Gants Hill,Central,181095.4337000904,5.5219503858727105e-06
Nine Elms,Battersea Power Station,Northern,186732.54319200545,5.3552529350588995e-06
Nine Elms,Kennington (Charing Cross),Northern,285890.68428655766,3.4978404507845628e-06
North Acton,East Acton,Central,493133.7183949253,2.0278475445865813e-06
North Acton,Hanger Lane,Central,253471.77822568905,3.945212390113146e-06
North Acton,West Acton,Central,149019.66112204193,6.7105239165792675e-06
North Ealing,Ealing Common,Piccadilly,206150.2933273272,4.850829867179434e-06
North Ealing,Park Royal,Piccadilly,199071.1259235885,5.023330206028172e-06
North Greenwich,Canary Wharf LU,Jubilee,1201087.6371364188,8.325787137266326e-07
North Greenwich,Canning Town,Jubilee,1101473.012519638,9.078751713693676e-07
North Harrow,Harrow-on-the-Hill,Metropolitan,248239.46681222497,4.028368304369696e-06
North Harrow,Pinner,Metropolitan,210055.72966247404,4.760641386011417e-06
North Wembley,South Kenton,Bakerloo,34931.69967549235,2.8627292954244297e-05
North Wembley,Wembley Central,Bakerloo,55087.32367795022,1.8152996610366636e-05
Northfields,Boston Manor,Piccadilly,412177.09548957297,2.4261416050113765e-06
Northfields,South Ealing,Piccadilly,477710.0575018319,2.0933199632209236e-06
Northolt,Greenford,Central,146852.03525581464,6.809575354253763e-06
Northolt,South Ruislip,Central,59861.52122379455,1.670522197826317e-05
Northwick Park,Harrow-on-the-Hill,Metropolitan,523550.25041827577,1.9100363321401873e-06
Northwick Park,Preston Road,Metropolitan,589805.8846024376,1.6954730803916213e-06
Northwood,Moor Park,Metropolitan,130669.12300997895,7.652917360772612e-06
Northwood,Northwood Hills,Metropolitan,177468.34911602057,5.634807586710836e-06
Northwood Hills,Northwood,Metropolitan,162417.41574347563,6.15697519519344e-06
Northwood Hills,Pinner,Metropolitan,196456.39321919088,5.090188125790731e-06
Notting Hill Gate,Bayswater,District,173819.38939305942,5.753098106556401e-06
Notting Hill Gate,Bayswater,H&C and Circle,135146.54359021783,7.399375325736277e-06
Notting Hill Gate,High Street Kensington,District,207290.1094642623,4.8241568427190415e-06
Notting Hill Gate,High Street Kensington,H&C and Circle,268118.35882434674,3.7296961102731996e-06
Notting Hill Gate,Holland Park,Central,730898.2392451628,1.3681795170730644e-06
Notting Hill Gate,Queensway,Central,889762.7331555466,1.1238951270227923e-06
Oakwood,Cockfosters,Piccadilly,32432.22853022553,3.0833527183247375e-05
Oakwood,Southgate,Piccadilly,81303.20730873324,1.2299637776929181e-05
Old Street,Angel,Northern,998755.204879328,1.001246346566797e-06
Old Street,Moorgate,Northern,1026589.015847715,9.740996489956024e-07
Osterley,Boston Manor,Piccadilly,422426.36650281504,2.3672764753744035e-06
Osterley,Hounslow East,Piccadilly,368033.0030604253,2.7171476244912077e-06
Oval,Kennington (Bank),Northern,871943.8094854278,1.1468628931377398e-06
Oval,Kennington (Charing Cross),Northern,87843.660426006,1.1383860772085397e-05
Oval,Stockwell,Northern,878501.1912723312,1.1383023835763983e-06
Paddington TfL,Bayswater,District,142502.22114059218,7.0174344792380715e-06
Paddington TfL,Bayswater,H&C and Circle,151251.1132933542,6.611521583054284e-06
Paddington TfL,Edgware Road (Bak),Bakerloo,575001.7439729724,1.739125160022131e-06
Paddington TfL,Edgware Road (DIS),District,68004.25475612427,1.4704962264290424e-05
Paddington TfL,Edgware Road (DIS),H&C and Circle,608210.8484016288,1.6441666613280389e-06
Paddington TfL,Royal Oak,H&C and Circle,409788.7355804266,2.4402818163939904e-06
Paddington TfL,Warwick Avenue,Bakerloo,364702.6909485431,2.7419594777300196e-06
Park Royal,Alperton,Piccadilly,181259.17311388504,5.5169621642911306e-06
Park Royal,North Ealing,Piccadilly,199447.8833406759,5.013841126064522e-06
Parsons Green,Fulham Broadway,District,597809.6972781338,1.6727731325755748e-06
Parsons Green,Putney Bridge,District,530084.6562941622,1.886491125759101e-06
Perivale,Greenford,Central,191358.8986545051,5.225782584615943e-06
Perivale,Hanger Lane,Central,228572.3344762649,4.374982660483965e-06
Piccadilly Circus,Charing Cross LU,Bakerloo,622847.534601897,1.6055293542089174e-06
Piccadilly Circus,Leicester Square,Piccadilly,926166.1296519596,1.0797198990377526e-06
Pimlico,Vauxhall LU,Victoria,1099516.7191655976,9.094904902936638e-07
Pimlico,Victoria LU,Victoria,1261588.691809136,7.926513660850795e-07
Pinner,North Harrow,Metropolitan,228692.5848319844,4.372682222008549e-06
Pinner,Northwood Hills,Metropolitan,180117.48259191986,5.551931914713871e-06
Plaistow,Upton Park,District,616753.0955855508,1.621394375087151e-06
Plaistow,Upton Park,H&C and Circle,154313.19153684363,6.48032737863011e-06
Plaistow,West Ham,District,656990.7901575491,1.5220913519353839e-06
Plaistow,West Ham,H&C and Circle,191608.0785878448,5.218986628173609e-06
Preston Road,Northwick Park,Metropolitan,562092.2447832936,1.7790674204827988e-06
Preston Road,Wembley Park,Metropolitan,614258.5377458968,1.6279789999657678e-06
Putney Bridge,East Putney,District,449490.5176522377,2.224741036191738e-06
Putney Bridge,Parsons Green,District,519982.1546817719,1.9231429213412107e-06
Queen's Park,Kensal Green,Bakerloo,123476.97911079154,8.098675617118357e-06
Queen's Park,Kilburn Park,Bakerloo,244687.6286655718,4.086843317145207e-06
Queensbury,Canons Park,Jubilee,107435.19307730228,9.30793691858938e-06
Queensbury,Kingsbury,Jubilee,172383.97682808942,5.801003192989647e-06
Queensway,Lancaster Gate,Central,992623.7239163604,1.007431089854005e-06
Queensway,Notting Hill Gate,Central,852499.4271653565,1.1730213160671524e-06
Ravenscourt Park,Hammersmith (DIS),District,434328.43747055903,2.302405078110468e-06
Ravenscourt Park,Stamford Brook,District,385267.2329704604,2.595600960636777e-06
Rayners Lane,Eastcote,Metropolitan,164281.38841064656,6.0871168041284535e-06
Rayners Lane,Eastcote,Piccadilly,40210.06391390076,2.4869395933844723e-05
Rayners Lane,South Harrow,Piccadilly,79250.33700434612,1.261824287189037e-05
Rayners Lane,West Harrow,Metropolitan,217758.577004442,4.592241618017192e-06
Redbridge,Gants Hill,Central,265419.0856610525,3.7676265725556286e-06
Redbridge,Wanstead,Central,326816.97163943195,3.059816615347847e-06
Regent's Park,Baker Street,Bakerloo,820767.399011663,1.218371978716701e-06
Richmond,Kew Gardens,District,122205.9908982268,8.182904885839848e-06
Rickmansworth,Chorleywood,Metropolitan,59511.6613595926,1.6803429397771492e-05
Rickmansworth,Moor Park,Metropolitan,90059.36627902568,1.1103786772180456e-05
Roding Valley,Chigwell,Central,13745.004711237552,7.275370369152558e-05
Roding Valley,Woodford,Central,17730.022613730307,5.6401507306910595e-05
Royal Oak,Paddington TfL,H&C and Circle,433350.530576071,2.307600728377229e-06
Royal Oak,Westbourne Park,H&C and Circle,390651.382188094,2.5598271133685936e-06
Ruislip,Ickenham,Metropolitan,115956.68617809178,8.623909780106621e-06
Ruislip,Ickenham,Piccadilly,29259.808413156457,3.417657374510892e-05
Ruislip,Ruislip Manor,Metropolitan,136009.0391545607,7.352452500334185e-06
Ruislip,Ruislip Manor,Piccadilly,30639.627758336468,3.26374722267283e-05
Ruislip Gardens,South Ruislip,Central,39605.81818208134,2.524881560084586e-05
Ruislip Gardens,West Ruislip,Central,21024.84472730389,4.756277694176505e-05
Ruislip Manor,Eastcote,Metropolitan,149386.9559796255,6.694024879497428e-06
Ruislip Manor,Eastcote,Piccadilly,33084.614445341074,3.022552980486126e-05
Ruislip Manor,Ruislip,Metropolitan,129693.08659963775,7.71051122475786e-06
Ruislip Manor,Ruislip,Piccadilly,32155.566949444004,3.109881413604778e-05
Russell Square,Holborn,Piccadilly,936907.6220685928,1.0673410872590682e-06
Seven Sisters,Finsbury Park LU,Victoria,1127082.5164805,8.872464840663698e-07
Seven Sisters,Tottenham Hale LU,Victoria,704035.4774538613,1.4203829665182387e-06
Shepherd's Bush LU,Holland Park,Central,732074.1870172924,1.3659817785330259e-06
Shepherd's Bush LU,White City,Central,554795.1476086909,1.8024670985502595e-06
Shepherd's Bush Market,Goldhawk Road,H&C and Circle,198274.72779643608,5.0435071131540075e-06
Shepherd's Bush Market,Wood Lane,H&C and Circle,251105.1522777684,3.982395386669791e-06
Sloane Square,South Kensington,District,1177016.119943935,8.496060360223725e-07
Sloane Square,South Kensington,H&C and Circle,248573.2201802005,4.022959509777685e-06
Sloane Square,Victoria LU,District,1335833.3802345248,7.485963555008901e-07
Sloane Square,Victoria LU,H&C and Circle,344782.3346323522,2.9003806156899497e-06
Snaresbrook,Leytonstone,Central,405093.1127377562,2.468568258891547e-06
Snaresbrook,South Woodford,Central,371538.1934681042,2.691513329129238e-06
South Ealing,Acton Town,Piccadilly,509843.4364946707,1.961386434383279e-06
South Ealing,Northfields,Piccadilly,457628.8211000127,2.1851770559299072e-06
South Harrow,Rayners Lane,Piccadilly,77290.95965315706,1.2938123740311894e-05
South Harrow,Sudbury Hill,Piccadilly,110310.22758692208,9.065342551415023e-06
South Kensington,Knightsbridge,Piccadilly,951073.5516414568,1.0514433907599483e-06
South Kensington,Sloane Square,District,1256336.2131030203,7.959652755133943e-07
South Kensington,Sloane Square,H&C and Circle,329296.816512439,3.0367739676044685e-06
South Kenton,Kenton,Bakerloo,30207.669898623742,3.3104175308985346e-05
South Kenton,North Wembley,Bakerloo,46928.15189832037,2.1309170712000517e-05
South Ruislip,Northolt,Central,65359.28622355152,1.5300044688059347e-05
South Ruislip,Ruislip Gardens,Central,35876.793753201164,2.7873170798903218e-05
South Wimbledon,Colliers Wood,Northern,260008.91383950145,3.846021989143345e-06
South Wimbledon,Morden,Northern,177276.7688957292,5.640897034783958e-06
South Woodford,Snaresbrook,Central,374154.2039283271,2.6726948127290316e-06
South Woodford,Woodford,Central,298834.2410521364,3.346336739990696e-06
Southfields,East Putney,District,354972.88258412096,2.8171165997814534e-06
Southfields,Wimbledon Park,District,317119.28902461124,3.153387493633007e-06
Southgate,Arnos Grove,Piccadilly,156726.59112859267,6.38053818946084e-06
Southgate,Oakwood,Piccadilly,82200.0509370421,1.2165442583069817e-05
Southwark,London Bridge LU,Jubilee,1748438.8536462658,5.719387886597001e-07
Southwark,Waterloo LU,Jubilee,1737237.232201141,5.756266222391311e-07
St. James's Park,Victoria LU,District,1026033.8137439794,9.746267487530625e-07
St. James's Park,Victoria LU,H&C and Circle,234427.03681330863,4.265719575666407e-06
St. James's Park,Westminster,District,1088142.426994492,9.189973437227825e-07
St. James's Park,Westminster,H&C and Circle,264694.3089982531,3.7779429553455182e-06
St. John's Wood,Baker Street,Jubilee,985793.3505625264,1.014411386959921e-06
St. John's Wood,Swiss Cottage,Jubilee,807794.7839544462,1.2379381742286576e-06
St. Paul's,Chancery Lane,Central,1520125.276238961,6.578405185618411e-07
Stamford Brook,Ravenscourt Park,District,402858.9970126129,2.482258078919587e-06
Stamford Brook,Turnham Green,District,359905.8630962568,2.7785043327636762e-06
Stanmore,Canons Park,Jubilee,65844.64906598872,1.5187262961912242e-05
Stepney Green,Mile End,District,558962.9482212227,1.7890273464140712e-06
Stepney Green,Mile End,H&C and Circle,183351.878837632,5.453993743285031e-06
Stepney Green,Whitechapel,District,577012.0973881043,1.7330659175545668e-06
Stepney Green,Whitechapel,H&C and Circle,197707.61075440212,5.057974228631126e-06
Stockwell,Brixton LU,Victoria,443392.87710797566,2.255336185196495e-06
Stockwell,Clapham North,Northern,1066479.8049494969,9.376642627071171e-07
Stockwell,Oval,Northern,908904.7308126038,1.1002253218617892e-06
Stockwell,Vauxhall LU,Victoria,816753.3827140338,1.224359789826699e-06
Stonebridge Park,Harlesden,Bakerloo,96661.45667054637,1.0345385166378413e-05
Stonebridge Park,Wembley Central,Bakerloo,64566.65111851707,1.548787156645964e-05
Stratford,Leyton,Central,988095.4412379626,1.0120479847039092e-06
Stratford,Mile End,Central,1148056.318586688,8.710374080176203e-07
Stratford,West Ham,Jubilee,696790.138112755,1.435152344016355e-06
Sudbury Hill,South Harrow,Piccadilly,108561.2502869416,9.21138985924415e-06
Sudbury Hill,Sudbury Town,Piccadilly,129324.8782044615,7.732464270478637e-06
Sudbury Town,Alperton,Piccadilly,152467.20757334074,6.558787400359344e-06
Sudbury Town,Sudbury Hill,Piccadilly,127827.5988298728,7.823036724102996e-06
Swiss Cottage,Finchley Road,Jubilee,741722.8639820174,1.3482124504446238e-06
Swiss Cottage,St. John's Wood,Jubilee,911432.3294792032,1.097174159458887e-06
Temple,Blackfriars LU,District,928758.2359428403,1.0767064681637388e-06
Temple,Blackfriars LU,H&C and Circle,203768.82253384293,4.907522100609455e-06
Temple,Embankment,District,933593.0914396504,1.0711304626922063e-06
Temple,Embankment,H&C and Circle,206292.163689545,4.847493875263865e-06
Theydon Bois,Debden,Central,88508.84853458838,1.1298305384791103e-05
Theydon Bois,Epping,Central,74314.30852456196,1.3456358806991866e-05
Tooting Bec,Balham LU,Northern,691240.0023107535,1.4466755347738695e-06
Tooting Bec,Tooting Broadway,Northern,554478.555178278,1.8034962590725916e-06
Tooting Broadway,Colliers Wood,Northern,347157.0371980814,2.880540772184948e-06
Tooting Broadway,Tooting Bec,Northern,583387.1307255807,1.7141276304060084e-06
Tottenham Court Road,Goodge Street,Northern,1006724.4859613124,9.933204307086151e-07
Tottenham Court Road,Holborn,Central,1345405.168578989,7.432705205497281e-07
Tottenham Court Road,Leicester Square,Northern,1092497.1073356646,9.153342313544037e-07
Tottenham Hale LU,Blackhorse Road,Victoria,472095.2082087259,2.1182167974004795e-06
Tottenham Hale LU,Seven Sisters,Victoria,747050.0065238851,1.3385984756939125e-06
Totteridge & Whetstone,High Barnet,Northern,67516.22610784527,1.4811254385022591e-05
Totteridge & Whetstone,Woodside Park,Northern,113658.64496225046,8.798274872378874e-06
Tower Hill,Aldgate,H&C and Circle,142860.90333618718,6.999815741377133e-06
Tower Hill,Aldgate East,District,651531.4816154372,1.53484525033319e-06
Tufnell Park,Archway,Northern,648855.9257518142,1.5411741810654244e-06
Tufnell Park,Kentish Town,Northern,716466.9494360904,1.3957377947260092e-06
Turnham Green,Acton Town,Piccadilly,673838.3792310625,1.4840353871519317e-06
Turnham Green,Chiswick Park,District,112143.7620998875,8.917125493875358e-06
Turnham Green,Gunnersbury,District,211654.9258901284,4.724671518011857e-06
Turnham Green,Hammersmith (DIS),Piccadilly,696328.513254107,1.4361037656303413e-06
Turnham Green,Stamford Brook,District,374166.28014081833,2.6726085515339537e-06
Turnpike Lane,Manor House,Piccadilly,621278.1668273401,1.6095849707815513e-06
Turnpike Lane,Wood Green,Piccadilly,455589.6114963205,2.1949578628793566e-06
Upminster,Upminster Bridge,District,32632.030985757385,3.0644736775239675e-05
Upminster Bridge,Hornchurch,District,44677.18781015361,2.2382787480924077e-05
Upminster Bridge,Upminster,District,36444.80149180458,2.7438755571898837e-05
Upney,Barking,District,340000.8320656996,2.94116927280568e-06
Upney,Becontree,District,295709.0255881595,3.381702665351588e-06
Upton Park,East Ham,District,528264.1297485396,1.892992432546977e-06
Upton Park,East Ham,H&C and Circle,117386.13425118738,8.518893703920442e-06
Upton Park,Plaistow,District,614898.4948202836,1.6262846769404925e-06
Upton Park,Plaistow,H&C and Circle,170614.195847217,5.861176996640352e-06
Uxbridge,Hillingdon,Metropolitan,93863.22576779465,1.0653799630473699e-05
Uxbridge,Hillingdon,Piccadilly,22149.054489655395,4.514865410923274e-05
Vauxhall LU,Pimlico,Victoria,1149944.6881502368,8.696070431079316e-07
Vauxhall LU,Stockwell,Victoria,781018.2403346922,1.280379827712432e-06
Victoria LU,Pimlico,Victoria,1207466.1805520975,8.281805454317268e-07
Victoria LU,Sloane Square,District,1246142.8734774224,8.024762017933395e-07
Victoria LU,Sloane Square,H&C and Circle,268819.16706940846,3.7199728386250166e-06
Victoria LU,St. James's Park,District,1072461.7488247857,9.324341880685348e-07
Victoria LU,St. James's Park,H&C and Circle,269278.3921870155,3.7136288280624232e-06
Walthamstow Central,Blackhorse Road,Victoria,303902.39548646234,3.2905301664347892e-06
Wanstead,Leytonstone,Central,359833.48292478465,2.7790632263341325e-06
Wanstead,Redbridge,Central,304519.9173459774,3.2838574524629847e-06
Warren Street,Euston LU,Northern,946064.7791957292,1.057010071604317e-06
Warren Street,Euston LU,Victoria,2066862.0046206107,4.838252373716445e-07
Warren Street,Goodge Street,Northern,1047635.9655947709,9.545300398619604e-07
Warwick Avenue,Maida Vale,Bakerloo,309905.4008038374,3.2267911349921123e-06
Warwick Avenue,Paddington TfL,Bakerloo,402153.019755972,2.486615668351325e-06
Waterloo LU,Embankment,Bakerloo,504637.281686528,1.981621327417467e-06
Waterloo LU,Embankment,Northern,899186.9028053677,1.1121158425240694e-06
Waterloo LU,Kennington (Charing Cross),Northern,557835.3792725172,1.7926435596539564e-06
Waterloo LU,Lambeth North,Bakerloo,172413.99431714954,5.799993231178989e-06
Waterloo LU,Southwark,Jubilee,1775826.7854516823,5.631179843622246e-07
Waterloo LU,Westminster,Jubilee,1451473.1600610688,6.889552128941373e-07
Watford,Croxley,Metropolitan,34484.89985445213,2.8998199334219503e-05
Wembley Central,North Wembley,Bakerloo,41535.81986458944,2.4075605182709558e-05
Wembley Central,Stonebridge Park,Bakerloo,73422.16706557674,1.3619864953139475e-05
Wembley Park,Finchley Road,Metropolitan,737946.7730316918,1.3551112851835102e-06
Wembley Park,Kingsbury,Jubilee,230213.0526267957,4.343802354339681e-06
Wembley Park,Neasden,Jubilee,308294.0590145836,3.2436564077697517e-06
Wembley Park,Preston Road,Metropolitan,585026.1337591156,1.7093253485522919e-06
West Acton,Ealing Broadway,Central,139181.4428322369,7.1848658819075135e-06
West Acton,North Acton,Central,164730.3312780685,6.070527462923494e-06
West Brompton,Earl's Court,District,757945.0778237126,1.3193568099568634e-06
West Brompton,Fulham Broadway,District,693231.9617171696,1.4425186015990244e-06
West Finchley,Finchley Central,Northern,190288.0208327025,5.255191554486662e-06
West Finchley,Woodside Park,Northern,199372.5039987402,5.015736773844796e-06
West Ham,Bromley-by-Bow,District,550919.2516306257,1.8151480403710216e-06
West Ham,Bromley-by-Bow,H&C and Circle,174101.5780782763,5.743773324963193e-06
West Ham,Canning Town,Jubilee,889635.0942914813,1.1240563759418854e-06
West Ham,Plaistow,District,655280.2827953782,1.5260645349102713e-06
West Ham,Plaistow,H&C and Circle,172131.33340596594,5.8095175364820635e-06
West Ham,Stratford,Jubilee,755196.2663065719,1.3241590889884644e-06
West Hampstead LU,Finchley Road,Jubilee,642751.1236745899,1.5558121381150273e-06
West Hampstead LU,Kilburn,Jubilee,497020.4945076029,2.0119894673371525e-06
West Harrow,Harrow-on-the-Hill,Metropolitan,228733.6971537564,4.37189628132401e-06
West Harrow,Rayners Lane,Metropolitan,209216.61046965537,4.779735212013863e-06
West Kensington,Barons Court,District,442825.9116038484,2.2582237710032625e-06
West Kensington,Earl's Court,District,578042.9081442361,1.7299753805654773e-06
West Ruislip,Ruislip Gardens,Central,23499.08621656818,4.2554846209081254e-05
Westbourne Park,Ladbroke Grove,H&C and Circle,361383.4628487747,2.767143776079378e-06
Westbourne Park,Royal Oak,H&C and Circle,410732.6656996874,2.4346736539605135e-06
Westminster,Embankment,District,926503.7448803058,1.0793264522953322e-06
Westminster,Embankment,H&C and Circle,217177.6786006628,4.604524767201136e-06
Westminster,St. James's Park,District,1043005.3745824272,9.587678303195277e-07
Westminster,St. James's Park,H&C and Circle,236507.28300956136,4.22819960246033e-06
Westminster,Waterloo LU,Jubilee,1454195.8342513638,6.876652899468738e-07
White City,East Acton,Central,497396.6680450882,2.0104678302938523e-06
White City,Shepherd's Bush LU,Central,581501.9962256366,1.719684552229768e-06
Whitechapel,Aldgate East,District,558824.38025454,1.7894709596322694e-06
Whitechapel,Aldgate East,H&C and Circle,192997.78607043275,5.181406586887268e-06
Whitechapel,Stepney Green,District,580134.1612420644,1.7237392086323703e-06
Whitechapel,Stepney Green,H&C and Circle,194192.22578650052,5.149536733254314e-06
Willesden Green,Dollis Hill,Jubilee,341538.2657498865,2.9279296063777364e-06
Willesden Green,Kilburn,Jubilee,471087.1904550458,2.1227492919814946e-06
Willesden Junction,Harlesden,Bakerloo,100545.978641341,9.945698609858026e-06
Willesden Junction,Kensal Green,Bakerloo,122291.01818950356,8.177215422725392e-06
Wimbledon,Wimbledon Park,District,285774.9782520372,3.4992566743126727e-06
Wimbledon Park,Southfields,District,298105.4422673766,3.354517758528811e-06
Wimbledon Park,Wimbledon,District,305950.19287768553,3.2685058655929185e-06
Wood Green,Bounds Green,Piccadilly,296790.63313002733,3.369378573217601e-06
Wood Green,Turnpike Lane,Piccadilly,469159.51008332736,2.1314712342128377e-06
Wood Lane,Latimer Road,H&C and Circle,290153.58246742934,3.4464506400235577e-06
Wood Lane,Shepherd's Bush Market,H&C and Circle,235604.9733323974,4.244392577355211e-06
Woodford,Buckhurst Hill,Central,203693.43997381936,4.909338268962072e-06
Woodford,Roding Valley,Central,18897.78122902936,5.291626503030286e-05
Woodford,South Woodford,Central,303081.2260242332,3.2994455417705214e-06
Woodside Park,Totteridge & Whetstone,Northern,106883.542134301,9.355977356583888e-06
Woodside Park,West Finchley,Northern,165612.93987977313,6.038175523760106e-06
