From,To,Line,Load,Inverse_Load
Burnt Oak,Colindale,Northern,149955.78262189048,6.6686324629539186e-06
Burnt Oak,Edgware,Northern,87406.37996198487,1.1440812449101815e-05
Caledonian Road,Holloway Road,Piccadilly,635273.4128153466,1.5741253762978863e-06
Camden Town (Edgware),Chalk Farm,Northern,666828.6547715078,1.4996356153030872e-06
Camden Town (Edgware),Euston LU,Northern,466468.2513728151,2.143768621030482e-06
Camden Town (Edgware),Mornington Crescent,Northern,439199.4983497512,2.276869631585194e-06
Camden Town (High Barnet),Euston LU,Northern,380790.95711266686,2.6261127826733663e-06
Camden Town (High Barnet),Kentish Town,Northern,784093.0181840823,1.275358888306322e-06
Camden Town (High Barnet),Mornington Crescent,Northern,427089.9508373907,2.3414271350550643e-06
Canada Water,Bermondsey,Jubilee,1589733.8884289,6.290360967194822e-07
Canada Water,Canary Wharf LU,Jubilee,1528581.2262420987,6.542014142476578e-07
Canary Wharf LU,Canada Water,Jubilee,1446068.3327640672,6.915302529919619e-07
Canary Wharf LU,North Greenwich,Jubilee,1260798.901539308,7.931478991448209e-07
Canning Town,North Greenwich,Jubilee,1071939.406345934,9.328885514236634e-07
Canning Town,West Ham,Jubilee,933277.8357600276,1.071492284165986e-06
Cannon Street LU,Mansion House,District,818030.2356112916,1.2224487023425575e-06
Cannon Street LU,Mansion House,H&C and Circle,174485.15175989328,5.731146690212854e-06
Canons Park,Queensbury,Jubilee,109734.88272509065,9.112872544869929e-06
Canons Park,Stanmore,Jubilee,65252.5730770954,1.532506616740627e-05
Chalfont & Latimer,Amersham,Metropolitan,12445.394562411364,8.035100815688759e-05
Chalfont & Latimer,Chesham,Metropolitan,19231.568675087183,5.1997838392424675e-05
Chalfont & Latimer,Chorleywood,Metropolitan,51148.41756108514,1.955094698297807e-05
Chalk Farm,Belsize Park,Northern,596532.2389620236,1.676355332848426e-06
Chalk Farm,Camden Town (Edgware),Northern,704412.5222395386,1.419622690438126e-06
Chancery Lane,Holborn,Central,1529719.465221319,6.53714633784385e-07
Chancery Lane,St. Paul's,Central,1483738.0268488894,6.739734251630423e-07
Charing Cross LU,Embankment,Bakerloo,533905.1574873412,1.8729918338046955e-06
Charing Cross LU,Embankment,Northern,980423.2469000472,1.019967654950912e-06
Charing Cross LU,Leicester Square,Northern,1051275.8558144695,9.512251180022166e-07
Charing Cross LU,Piccadilly Circus,Bakerloo,652822.0340372731,1.5318110416948711e-06
Chesham,Chalfont & Latimer,Metropolitan,21256.824728394386,4.7043714796416545e-05
Chigwell,Grange Hill,Central,10325.561667029198,9.684703188526047e-05
Chigwell,Roding Valley,Central,15072.72969689414,6.63449832982846e-05
Chiswick Park,Acton Town,District,105013.9194916455,9.522547152233053e-06
Chiswick Park,Turnham Green,District,121593.672156559,8.224112178407124e-06
Chorleywood,Chalfont & Latimer,Metropolitan,46638.4840144709,2.1441520262316457e-05
Chorleywood,Rickmansworth,Metropolitan,69366.77670737417,1.4416123214410409e-05
Clapham Common,Clapham North,Northern,1030922.0736417236,9.700054209407976e-07
Clapham Common,Clapham South,Northern,874509.9683074706,1.1434975428986856e-06
Clapham North,Clapham Common,Northern,993095.8435967144,1.0069521551699187e-06
Clapham North,Stockwell,Northern,1103349.064768467,9.063314883126725e-07
Clapham South,Balham LU,Northern,771175.3350375226,1.2967219704340564e-06
Clapham South,Clapham Common,Northern,923560.5037534898,1.0827660948425668e-06
Cockfosters,Oakwood,Piccadilly,32368.41164701072,3.089431792036517e-05
Colindale,Burnt Oak,Northern,145001.47042669135,6.8964817877869165e-06
Colindale,Hendon Central,Northern,271582.1316183095,3.6821273698721576e-06
Colliers Wood,South Wimbledon,Northern,247800.4997597163,4.035504371337693e-06
Colliers Wood,Tooting Broadway,Northern,366725.3022719139,2.7268366644048334e-06
Covent Garden,Holborn,Piccadilly,868545.702180793,1.1513498915360979e-06
Covent Garden,Leicester Square,Piccadilly,895517.2982048264,1.1166730134689993e-06
Croxley,Moor Park,Metropolitan,48347.98798685618,2.068338397601693e-05
Croxley,Watford,Metropolitan,33917.682846025804,2.948314613765462e-05
Dagenham East,Dagenham Heathway,District,161902.4239022983,6.1765597814857946e-06
Dagenham East,Elm Park,District,116194.12141863778,8.606287373154473e-06
Dagenham Heathway,Becontree,District,250346.71243518608,3.994460283791011e-06
Dagenham Heathway,Dagenham East,District,161398.9340762328,6.195827783643693e-06
Debden,Loughton,Central,121913.91089174576,8.20250939934128e-06
Debden,Theydon Bois,Central,88413.39250122505,1.1310503665902696e-05
Dollis Hill,Neasden,Jubilee,306086.92004228896,3.2670458439120497e-06
Dollis Hill,Willesden Green,Jubilee,385015.6351518163,2.5972971191304684e-06
Ealing Broadway,Ealing Common,District,106444.12622794874,9.39460011028239e-06
Ealing Broadway,West Acton,Central,154176.30767878654,6.486080871020835e-06
Ealing Common,Acton Town,District,115814.53849328298,8.63449453764389e-06
Ealing Common,Acton Town,Piccadilly,213493.2749913041,4.6839882897516635e-06
